Price;Boat Type;Manufacturer;Condition ;Fuel ;Length;Width;Material;Country;City
EUR 16219;Deck Boat;Jeanneau power boats;new boat from stock;;5.48;2.36;GRP;Germany;1
EUR 16200;Sport Boat;;new boat from stock;;5.7;2.5;GRP;Germany; Berlin
EUR 16190;Sport Boat;AMT power boats;new boat from stock;;5.15;2.08;GRP;Germany; auf Anfrage
CHF 17500;Pontoon Boat;Doral power boats;Used boat;;7.2;2.57;GRP;Switzerland; Luganersee
CHF 17400;Pilothouse;Smartliner power boats;new boat on order;;6.4;2.25;GRP;Switzerland; Lake Geneva
CHF 17400;Center console boat;Morningstar power boats;new boat from stock;;5.0;2.0;Aluminium;Switzerland; Vierwaldstättersee
DKK 119500;Deck Boat;Yamarin power boats;new boat from stock;;4.0;1.0;;Denmark; Svendborg
EUR 16000;Sport Boat;Bombardier power boats;Used boat;;7.35;2.6;GRP;Croatia (Hrvatska);
EUR 16900;Pilothouse;Smartliner power boats;Used boat;;6.45;2.25;PVC;Montenegro; Tivat
EUR 16900;Cabin Boat;Four Winns power boats;Used boat;;6.3;2.34;GRP;Germany; Bayern
EUR 16900;Bowrider;Wellcraft power boats;Used boat;;8.53;2.59;;France; MANDELIEU
EUR 16900;Center console boat;Allegra power boats;Used boat;;5.6;2.16;GRP;Italy; Lombardia - Trentino Alto Adige
EUR 16900;Cabin Boat,Sport Boat;Fairline power boats;Used boat;;8.04;3.06;GRP;Germany; Baden-Württemberg
